timestamp,Fox_lodging_Helen
2016-01-01 00:00:00,296.72
2016-01-01 01:00:00,302.08
2016-01-01 02:00:00,300.0
2016-01-01 03:00:00,304.93
2016-01-01 04:00:00,297.5
2016-01-01 05:00:00,295.37
2016-01-01 06:00:00,294.92
2016-01-01 07:00:00,290.88
2016-01-01 08:00:00,290.85
2016-01-01 09:00:00,272.32
2016-01-01 10:00:00,245.2
2016-01-01 11:00:00,234.35
2016-01-01 12:00:00,229.12
2016-01-01 13:00:00,237.37
2016-01-01 14:00:00,247.77
2016-01-01 15:00:00,254.32
2016-01-01 16:00:00,290.33
2016-01-01 17:00:00,308.97
2016-01-01 18:00:00,311.68
2016-01-01 19:00:00,309.87
2016-01-01 20:00:00,311.9
2016-01-01 21:00:00,311.43
2016-01-01 22:00:00,312.17
2016-01-01 23:00:00,300.43
2016-01-02 00:00:00,295.03
2016-01-02 01:00:00,293.58
2016-01-02 02:00:00,299.08
2016-01-02 03:00:00,293.57
2016-01-02 04:00:00,294.32
2016-01-02 05:00:00,292.43
2016-01-02 06:00:00,293.13
2016-01-02 07:00:00,290.87
2016-01-02 08:00:00,292.33
2016-01-02 09:00:00,266.32
2016-01-02 10:00:00,237.2
2016-01-02 11:00:00,228.07
2016-01-02 12:00:00,226.33
2016-01-02 13:00:00,243.0
2016-01-02 14:00:00,249.18
2016-01-02 15:00:00,262.82
2016-01-02 16:00:00,305.9
2016-01-02 17:00:00,315.53
2016-01-02 18:00:00,313.67
2016-01-02 19:00:00,311.67
2016-01-02 20:00:00,312.18
2016-01-02 21:00:00,313.05
2016-01-02 22:00:00,306.52
2016-01-02 23:00:00,297.78
2016-01-03 00:00:00,296.87
2016-01-03 01:00:00,298.15
2016-01-03 02:00:00,296.67
2016-01-03 03:00:00,297.38
2016-01-03 04:00:00,293.58
2016-01-03 05:00:00,288.62
2016-01-03 06:00:00,291.32
2016-01-03 07:00:00,289.85
2016-01-03 08:00:00,290.05
2016-01-03 09:00:00,277.75
2016-01-03 10:00:00,252.57
2016-01-03 11:00:00,237.3
2016-01-03 12:00:00,229.57
2016-01-03 13:00:00,243.6
2016-01-03 14:00:00,272.72
2016-01-03 15:00:00,295.95
2016-01-03 16:00:00,311.95
2016-01-03 17:00:00,315.32
2016-01-03 18:00:00,318.72
2016-01-03 19:00:00,313.87
2016-01-03 20:00:00,311.25
2016-01-03 21:00:00,319.85
2016-01-03 22:00:00,320.53
2016-01-03 23:00:00,298.55
2016-01-04 00:00:00,295.07
2016-01-04 01:00:00,296.52
2016-01-04 02:00:00,294.3
2016-01-04 03:00:00,292.63
2016-01-04 04:00:00,291.33
2016-01-04 05:00:00,289.15
