timestamp,Panther_education_Teofila,Panther_education_Annetta,Panther_education_Ivan,Panther_education_Neal,Panther_education_Enriqueta,Panther_education_Shelton,Panther_education_Aurora,Panther_education_Emily,Panther_education_Zelda,Panther_education_Karri,Robin_education_Lashandra,Robin_education_Terrance,Robin_education_Margarito,Robin_education_Kristopher,Fox_education_Jaclyn,Rat_education_Penny,Rat_education_Calvin,Rat_education_Jacob,Rat_education_Rogelio,Rat_education_Kristie,Rat_education_Cinthia,Bear_education_Nanette,Bear_education_Pattie,Bear_education_Leonel,Cockatoo_education_Nelda,Cockatoo_education_Julio
2016-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.1837,134.3,219.2041,46.4,166.26,99.96,29.53,66.61,,78.4,32.05,,117.25,34.0,108.725,165.825
2016-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.3673,267.1,438.4082,93.0,164.81,105.33,29.87,67.97,,78.42,32.57,,122.25,35.5,112.075,165.425
2016-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.3673,268.7,438.4082,93.8,166.0,113.97,29.53,66.55,,78.2,32.8,,122.75,33.75,116.4,161.575
2016-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.3673,267.7,438.4082,92.9,165.02,105.42,29.9,68.43,,78.91,33.92,,125.0,33.5,111.375,160.45
2016-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.3673,267.8,438.4082,93.8,165.01,108.72,29.94,68.82,,80.7,35.58,,122.25,42.25,119.05,161.525
2016-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.3673,267.3,438.4082,93.7,165.16,103.62,30.0,69.81,,78.67,38.53,,122.0,95.25,111.9,164.375
2016-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.3673,262.9,438.4082,94.7,165.01,113.37,30.4,70.21,,78.25,37.93,,125.75,123.25,109.575,166.75
2016-01-01 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.3673,269.4,438.4082,94.1,164.8,120.78,30.01,70.59,,80.97,36.13,,129.25,130.75,115.175,166.0
2016-01-01 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.3673,271.9,438.4082,93.9,165.16,110.88,29.75,69.96,,78.46,35.13,,131.25,121.0,107.975,151.825
2016-01-01 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.3673,280.4,438.4082,93.5,165.72,106.71,25.15,69.35,,78.79,34.37,,125.25,119.0,101.35,152.1
2016-01-01 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.3673,276.9,438.4082,93.6,166.21,109.5,26.39,68.03,,78.08,34.23,,134.0,120.25,96.275,156.325
2016-01-01 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.3673,279.2,438.4082,93.6,168.04,97.05,26.66,65.71,,76.42,34.13,,128.5,120.5,96.55,151.775
2016-01-01 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.3673,270.8,438.4082,91.5,167.6,97.77,25.54,64.24,,74.35,34.94,,133.5,120.75,99.6,146.3
2016-01-01 13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.3673,274.2,438.4082,91.9,169.34,103.71,25.39,66.16,,73.15,33.92,,129.75,119.25,100.525,147.05
2016-01-01 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.3673,270.2,438.4082,94.6,171.38,107.73,24.52,64.71,,76.74,33.86,,125.5,130.5,100.3,153.2
2016-01-01 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.3673,269.4,438.4082,96.8,172.74,112.26,24.13,65.73,,75.81,33.72,,129.5,121.25,102.375,161.2
2016-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.3673,267.2,438.4082,98.3,173.72,105.12,24.14,66.55,,76.63,33.33,,127.25,125.5,100.8,169.95
2016-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.3673,267.9,438.4082,97.9,172.66,113.07,42.07,68.0,,74.49,56.73,,135.75,123.25,116.1,170.375
2016-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.3673,264.3,438.4082,98.4,174.0,112.62,58.94,67.58,,77.3,74.8,,123.25,128.0,117.675,167.75
2016-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.3673,262.7,438.4082,96.9,173.58,117.06,61.01,70.11,,78.82,76.15,,128.5,124.0,116.425,166.65
2016-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.3673,264.0,438.4082,96.8,174.48,116.34,61.5,71.12,,81.32,76.31,,125.25,36.5,116.45,162.75
2016-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.3673,263.4,438.4082,96.8,170.67,114.51,61.55,71.2,,82.31,73.99,,117.25,31.5,116.975,164.1
2016-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.3673,258.7,438.4082,95.4,170.17,108.66,61.16,72.0,,80.66,62.31,,111.5,32.0,117.8,169.95
2016-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.3673,253.5,438.4082,96.4,170.09,105.51,30.66,76.09,,83.82,33.98,,114.5,33.0,114.7,174.325
2016-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.1837,255.3,438.7041,95.2,172.62,107.19,31.33,76.18,,80.68,33.69,,113.5,33.25,114.975,165.1
