timestamp,Rat_warehouse_Eloisa
2016-01-01 00:00:00,117.54
2016-01-01 01:00:00,119.57
2016-01-01 02:00:00,117.37
2016-01-01 03:00:00,117.91
2016-01-01 04:00:00,118.92
2016-01-01 05:00:00,120.32
2016-01-01 06:00:00,123.36
2016-01-01 07:00:00,119.86
2016-01-01 08:00:00,122.54
2016-01-01 09:00:00,116.82
2016-01-01 10:00:00,111.83
2016-01-01 11:00:00,107.7
2016-01-01 12:00:00,106.8
2016-01-01 13:00:00,104.98
2016-01-01 14:00:00,105.69
2016-01-01 15:00:00,107.33
2016-01-01 16:00:00,107.47
2016-01-01 17:00:00,110.57
2016-01-01 18:00:00,122.79
2016-01-01 19:00:00,124.18
2016-01-01 20:00:00,124.89
2016-01-01 21:00:00,124.68
2016-01-01 22:00:00,130.53
2016-01-01 23:00:00,129.84
2016-01-02 00:00:00,131.12
2016-01-02 01:00:00,130.51
2016-01-02 02:00:00,135.09
2016-01-02 03:00:00,137.0
2016-01-02 04:00:00,135.48
2016-01-02 05:00:00,134.94
2016-01-02 06:00:00,135.73
2016-01-02 07:00:00,137.93
2016-01-02 08:00:00,135.23
2016-01-02 09:00:00,127.15
2016-01-02 10:00:00,115.64
2016-01-02 11:00:00,112.78
2016-01-02 12:00:00,110.62
2016-01-02 13:00:00,106.48
2016-01-02 14:00:00,100.92
2016-01-02 15:00:00,100.42
2016-01-02 16:00:00,94.9
2016-01-02 17:00:00,100.09
2016-01-02 18:00:00,112.95
2016-01-02 19:00:00,115.26
2016-01-02 20:00:00,118.0
2016-01-02 21:00:00,120.46
2016-01-02 22:00:00,121.99
2016-01-02 23:00:00,124.71
2016-01-03 00:00:00,131.6
2016-01-03 01:00:00,133.34
2016-01-03 02:00:00,134.99
2016-01-03 03:00:00,133.82
2016-01-03 04:00:00,137.26
2016-01-03 05:00:00,138.19
2016-01-03 06:00:00,141.07
2016-01-03 07:00:00,147.85
2016-01-03 08:00:00,144.2
2016-01-03 09:00:00,131.46
2016-01-03 10:00:00,118.46
2016-01-03 11:00:00,115.96
2016-01-03 12:00:00,102.73
2016-01-03 13:00:00,97.08
2016-01-03 14:00:00,92.84
2016-01-03 15:00:00,88.53
2016-01-03 16:00:00,92.01
2016-01-03 17:00:00,96.81
2016-01-03 18:00:00,113.35
2016-01-03 19:00:00,120.04
2016-01-03 20:00:00,129.12
2016-01-03 21:00:00,127.33
2016-01-03 22:00:00,131.68
2016-01-03 23:00:00,131.59
2016-01-04 00:00:00,139.22
2016-01-04 01:00:00,141.84
2016-01-04 02:00:00,141.85
2016-01-04 03:00:00,142.24
2016-01-04 04:00:00,146.11
2016-01-04 05:00:00,148.69
2016-01-04 06:00:00,157.56
2016-01-04 07:00:00,164.58
2016-01-04 08:00:00,191.91
2016-01-04 09:00:00,227.77
2016-01-04 10:00:00,233.74
2016-01-04 11:00:00,229.85
2016-01-04 12:00:00,224.32
2016-01-04 13:00:00,222.45
2016-01-04 14:00:00,217.53
2016-01-04 15:00:00,210.12
2016-01-04 16:00:00,194.56
2016-01-04 17:00:00,181.55
2016-01-04 18:00:00,184.42
2016-01-04 19:00:00,180.97
2016-01-04 20:00:00,178.74
2016-01-04 21:00:00,178.01
2016-01-04 22:00:00,181.41
2016-01-04 23:00:00,182.68
2016-01-05 00:00:00,193.93
2016-01-05 01:00:00,191.59
2016-01-05 02:00:00,195.16
2016-01-05 03:00:00,197.28
2016-01-05 04:00:00,185.87
2016-01-05 05:00:00,180.0
2016-01-05 06:00:00,208.18
2016-01-05 07:00:00,222.22
2016-01-05 08:00:00,249.06
2016-01-05 09:00:00,275.64
2016-01-05 10:00:00,276.06
2016-01-05 11:00:00,262.46
2016-01-05 12:00:00,252.72
2016-01-05 13:00:00,238.56
2016-01-05 14:00:00,231.2
2016-01-05 15:00:00,214.61
2016-01-05 16:00:00,206.26
2016-01-05 17:00:00,189.76
2016-01-05 18:00:00,200.08
2016-01-05 19:00:00,202.49
2016-01-05 20:00:00,202.35
2016-01-05 21:00:00,199.81
2016-01-05 22:00:00,199.6
