timestamp,Panther_lodging_Edison,Panther_lodging_Awilda,Panther_lodging_Gale,Panther_lodging_Cornelia,Panther_lodging_Alita,Panther_lodging_Sonja,Panther_lodging_Kaitlin,Panther_lodging_Edmond,Panther_lodging_Tracie,Robin_lodging_Celia,Fox_lodging_Wallace,Fox_lodging_Alana,Fox_lodging_Winifred,Bear_lodging_Erick,Cockatoo_lodging_Raphael,Cockatoo_lodging_Josephine
2016-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,241.35,143.25,69.86,66.9298,42.025,40.85
2016-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.2,245.6,140.9,69.79,68.5849,41.975,35.6
2016-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.4,241.7,139.93,70.65,71.7227,45.125,34.9
2016-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.7,238.81,141.12,70.12,70.9663,39.3,33.75
2016-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.7,239.25,139.02,67.53,75.057,38.3,35.425
2016-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.6,238.97,146.14,68.07,77.58,41.65,34.475
2016-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.4,237.3,153.66,66.95,78.3197,42.775,34.35
2016-01-01 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.2,238.58,150.86,66.89,74.2043,49.7,41.925
2016-01-01 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.7,230.75,145.82,61.83,69.2504,49.275,34.25
2016-01-01 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.2,227.68,147.89,63.87,66.7291,43.725,33.3
2016-01-01 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.3,224.7,147.8,62.96,63.6921,45.15,32.8
2016-01-01 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.9,223.87,148.42,64.74,60.2115,40.0,31.925
2016-01-01 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,222.95,150.24,68.14,55.3285,39.7,32.4
2016-01-01 13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.4,226.24,153.91,66.58,54.765,37.75,32.15
2016-01-01 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.5,223.38,156.45,64.08,52.612,40.275,32.2
2016-01-01 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.5,230.99,153.46,67.86,54.8067,38.525,32.875
2016-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.8,237.47,149.83,69.74,58.7386,39.55,32.875
2016-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.3,237.35,151.45,65.9,64.4338,45.15,36.025
2016-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.5,241.47,158.7,72.53,65.2624,43.1,34.725
2016-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.9,248.99,162.22,72.4,64.047,47.875,36.0
2016-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.4,249.56,162.57,73.06,61.0463,46.875,35.65
2016-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.7,241.98,159.9,70.5,62.2918,44.275,36.85
2016-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.8,242.89,161.39,71.79,64.7531,49.2,34.525
2016-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,245.8,158.11,70.73,63.6383,42.3,36.15
2016-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.7,239.44,155.81,71.57,66.8912,43.175,34.625
2016-01-02 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.5,241.62,155.39,70.47,66.3286,44.575,34.9
2016-01-02 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.5,238.36,156.14,70.07,67.3784,45.825,35.8
2016-01-02 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.2,237.96,153.59,69.43,66.0347,41.3,34.725
2016-01-02 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.5,237.91,152.35,70.12,65.1342,40.225,40.225
2016-01-02 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.4,238.28,150.71,67.79,65.0351,39.575,35.525
2016-01-02 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.5,236.33,152.78,69.51,64.663,43.15,34.85
2016-01-02 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.8,239.61,152.35,65.89,67.431,47.6,35.5
2016-01-02 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.6,235.99,153.95,64.68,63.9145,50.45,32.675
2016-01-02 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.2,231.6,149.12,63.94,64.0562,45.125,30.3
2016-01-02 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.1,232.57,150.92,65.17,58.337,44.95,29.9
2016-01-02 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.9,232.15,148.8,70.63,53.9396,38.775,28.275
2016-01-02 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,230.91,150.27,65.76,53.9259,39.825,29.175
2016-01-02 13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.1,233.82,151.64,64.6,54.8113,39.45,30.7
2016-01-02 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.2,228.75,153.69,65.63,53.8983,41.075,28.525
2016-01-02 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.8,233.08,153.0,66.23,52.7867,39.55,35.05
2016-01-02 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.4,239.04,158.12,66.69,55.705,46.65,29.975
2016-01-02 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.6,242.39,157.29,68.2,59.9667,56.375,32.85
2016-01-02 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.8,245.64,164.51,74.03,60.6066,55.0,37.325
2016-01-02 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3,237.94,172.91,74.55,59.9289,51.875,32.75
2016-01-02 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.4,239.57,166.99,71.38,61.2593,50.85,33.325
2016-01-02 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.8,239.9,159.18,72.58,61.8958,46.75,32.125
2016-01-02 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.3,248.07,160.56,71.23,61.9367,47.775,32.775
2016-01-02 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.6,245.57,150.68,72.39,59.8605,48.325,31.2
2016-01-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.3,240.48,142.22,71.94,60.5993,44.25,31.8
2016-01-03 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.1,245.57,140.3,70.48,62.0322,43.775,32.75
2016-01-03 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.6,238.89,140.27,71.89,63.167,43.575,31.8
2016-01-03 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.8,237.2,140.45,72.64,62.2843,44.475,30.875
2016-01-03 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.9,238.22,137.64,69.81,60.0889,41.05,31.0
2016-01-03 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.9,236.51,139.64,70.86,59.1575,39.225,30.925
2016-01-03 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.1,233.73,153.24,67.87,58.9175,43.875,32.1
2016-01-03 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.5,235.06,150.14,68.88,57.7535,49.0,31.575
