timestamp,Panther_office_Larry,Panther_office_Christian,Panther_office_Christin,Panther_office_Antonette,Panther_office_Lois,Cockatoo_office_Lorraine
2016-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,7.85
2016-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,7.925
2016-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,8.125
2016-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,7.925
2016-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,7.9
2016-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,7.8
2016-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,7.725
2016-01-01 07:00:00,0.0,0.0,0.0,0.0,0.0,6.85
2016-01-01 08:00:00,0.0,0.0,0.0,0.0,0.0,7.0
2016-01-01 09:00:00,0.0,0.0,0.0,0.0,0.0,5.975
2016-01-01 10:00:00,0.0,0.0,0.0,0.0,0.0,5.7
2016-01-01 11:00:00,0.0,0.0,0.0,0.0,0.0,5.85
2016-01-01 12:00:00,0.0,0.0,0.0,0.0,0.0,9.05
2016-01-01 13:00:00,0.0,0.0,0.0,0.0,0.0,6.85
2016-01-01 14:00:00,0.0,0.0,0.0,0.0,0.0,7.35
2016-01-01 15:00:00,0.0,0.0,0.0,0.0,0.0,6.1
2016-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0,7.6
2016-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0,7.6
2016-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0,8.35
2016-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0,8.05
2016-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0,8.425
2016-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0,8.05
2016-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0,7.95
2016-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0,8.325
2016-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,7.975
2016-01-02 01:00:00,0.0,0.0,0.0,0.0,0.0,7.975
2016-01-02 02:00:00,0.0,0.0,0.0,0.0,0.0,7.925
2016-01-02 03:00:00,0.0,0.0,0.0,0.0,0.0,8.075
2016-01-02 04:00:00,0.0,0.0,0.0,0.0,0.0,7.9
2016-01-02 05:00:00,0.0,0.0,0.0,0.0,0.0,7.975
2016-01-02 06:00:00,0.0,0.0,0.0,0.0,0.0,7.875
2016-01-02 07:00:00,0.0,0.0,0.0,0.0,0.0,7.175
2016-01-02 08:00:00,0.0,0.0,0.0,0.0,0.0,6.375
2016-01-02 09:00:00,0.0,0.0,0.0,0.0,0.0,5.9
2016-01-02 10:00:00,0.0,0.0,0.0,0.0,0.0,5.725
2016-01-02 11:00:00,0.0,0.0,0.0,0.0,0.0,5.75
2016-01-02 12:00:00,0.0,0.0,0.0,0.0,0.0,5.8
2016-01-02 13:00:00,0.0,0.0,0.0,0.0,0.0,5.675
2016-01-02 14:00:00,0.0,0.0,0.0,0.0,0.0,5.775
2016-01-02 15:00:00,0.0,0.0,0.0,0.0,0.0,5.8
2016-01-02 16:00:00,0.0,0.0,0.0,0.0,0.0,6.675
2016-01-02 17:00:00,0.0,0.0,0.0,0.0,0.0,7.025
2016-01-02 18:00:00,0.0,0.0,0.0,0.0,0.0,7.475
2016-01-02 19:00:00,0.0,0.0,0.0,0.0,0.0,7.975
2016-01-02 20:00:00,0.0,0.0,0.0,0.0,0.0,8.025
2016-01-02 21:00:00,0.0,0.0,0.0,0.0,0.0,8.0
2016-01-02 22:00:00,0.0,0.0,0.0,0.0,0.0,8.0
2016-01-02 23:00:00,0.0,0.0,0.0,0.0,0.0,7.85
2016-01-03 00:00:00,0.0,0.0,0.0,0.0,0.0,8.025
2016-01-03 01:00:00,0.0,0.0,0.0,0.0,0.0,8.075
2016-01-03 02:00:00,0.0,0.0,0.0,0.0,0.0,7.9
2016-01-03 03:00:00,0.0,0.0,0.0,0.0,0.0,8.0
2016-01-03 04:00:00,0.0,0.0,0.0,0.0,0.0,8.075
2016-01-03 05:00:00,0.0,0.0,0.0,0.0,0.0,7.925
2016-01-03 06:00:00,0.0,0.0,0.0,0.0,0.0,7.975
2016-01-03 07:00:00,0.0,0.0,0.0,0.0,0.0,6.95
2016-01-03 08:00:00,0.0,0.0,0.0,0.0,0.0,6.975
2016-01-03 09:00:00,0.0,0.0,0.0,0.0,0.0,7.1
2016-01-03 10:00:00,0.0,0.0,0.0,0.0,0.0,6.025
2016-01-03 11:00:00,0.0,0.0,0.0,0.0,0.0,5.775
2016-01-03 12:00:00,0.0,0.0,0.0,0.0,0.0,5.75
2016-01-03 13:00:00,0.0,0.0,0.0,0.0,0.0,5.8
2016-01-03 14:00:00,0.0,0.0,0.0,0.0,0.0,5.7
2016-01-03 15:00:00,0.0,0.0,0.0,0.0,0.0,5.75
2016-01-03 16:00:00,0.0,0.0,0.0,0.0,0.0,6.65
2016-01-03 17:00:00,0.0,0.0,0.0,0.0,0.0,7.0
2016-01-03 18:00:00,0.0,0.0,0.0,0.0,0.0,8.075
2016-01-03 19:00:00,0.0,0.0,0.0,0.0,0.0,8.975
2016-01-03 20:00:00,0.0,0.0,0.0,0.0,0.0,10.175
2016-01-03 21:00:00,0.0,0.0,0.0,0.0,0.0,10.1
