timestamp,Panther_assembly_Pamella,Panther_assembly_Gwyneth,Fox_assembly_Carlos,Bear_assembly_Danial
2016-01-01 00:00:00,0.0,0.0,73.89,
2016-01-01 01:00:00,0.0,0.0,73.99,
2016-01-01 02:00:00,0.0,0.0,75.75,
2016-01-01 03:00:00,0.0,0.0,75.55,
2016-01-01 04:00:00,0.0,0.0,75.06,
2016-01-01 05:00:00,0.0,0.0,85.5,
2016-01-01 06:00:00,0.0,0.0,98.13,
2016-01-01 07:00:00,0.0,0.0,87.02,
2016-01-01 08:00:00,0.0,0.0,86.22,
2016-01-01 09:00:00,0.0,0.0,88.21,
2016-01-01 10:00:00,0.0,0.0,88.96,
2016-01-01 11:00:00,0.0,0.0,88.59,
2016-01-01 12:00:00,0.0,0.0,88.18,
2016-01-01 13:00:00,0.0,0.0,88.51,
2016-01-01 14:00:00,0.0,0.0,87.72,
2016-01-01 15:00:00,0.0,0.0,86.9,
2016-01-01 16:00:00,0.0,0.0,88.01,
2016-01-01 17:00:00,0.0,0.0,87.74,
2016-01-01 18:00:00,0.0,0.0,87.84,
2016-01-01 19:00:00,0.0,0.0,88.15,
2016-01-01 20:00:00,0.0,0.0,87.98,
2016-01-01 21:00:00,0.0,0.0,87.85,
2016-01-01 22:00:00,0.0,0.0,86.4,
2016-01-01 23:00:00,0.0,0.0,81.65,
2016-01-02 00:00:00,0.0,0.0,78.18,
2016-01-02 01:00:00,0.0,0.0,78.22,
2016-01-02 02:00:00,0.0,0.0,71.3,
2016-01-02 03:00:00,0.0,0.0,69.61,
2016-01-02 04:00:00,0.0,0.0,72.12,
2016-01-02 05:00:00,0.0,0.0,91.91,
2016-01-02 06:00:00,0.0,0.0,92.82,
2016-01-02 07:00:00,0.0,0.0,93.17,
2016-01-02 08:00:00,0.0,0.0,93.05,
2016-01-02 09:00:00,0.0,0.0,96.32,
2016-01-02 10:00:00,0.0,0.0,98.37,
2016-01-02 11:00:00,0.0,0.0,98.88,
2016-01-02 12:00:00,0.0,0.0,98.98,
2016-01-02 13:00:00,0.0,0.0,99.24,
2016-01-02 14:00:00,0.0,0.0,99.49,
2016-01-02 15:00:00,0.0,0.0,100.48,
2016-01-02 16:00:00,0.0,0.0,99.43,
2016-01-02 17:00:00,0.0,0.0,98.32,
2016-01-02 18:00:00,0.0,0.0,97.98,
2016-01-02 19:00:00,0.0,0.0,98.05,
2016-01-02 20:00:00,0.0,0.0,97.4,
2016-01-02 21:00:00,0.0,0.0,96.84,
2016-01-02 22:00:00,0.0,0.0,97.42,
2016-01-02 23:00:00,0.0,0.0,82.14,
2016-01-03 00:00:00,0.0,0.0,75.41,
2016-01-03 01:00:00,0.0,0.0,75.95,
2016-01-03 02:00:00,0.0,0.0,74.41,
2016-01-03 03:00:00,0.0,0.0,74.26,
2016-01-03 04:00:00,0.0,0.0,73.85,
2016-01-03 05:00:00,0.0,0.0,93.94,
2016-01-03 06:00:00,0.0,0.0,96.92,
2016-01-03 07:00:00,0.0,0.0,97.44,
2016-01-03 08:00:00,0.0,0.0,97.5,
2016-01-03 09:00:00,0.0,0.0,99.49,
2016-01-03 10:00:00,0.0,0.0,99.76,
2016-01-03 11:00:00,0.0,0.0,99.43,
2016-01-03 12:00:00,0.0,0.0,100.06,
2016-01-03 13:00:00,0.0,0.0,99.62,
2016-01-03 14:00:00,0.0,0.0,97.94,
2016-01-03 15:00:00,0.0,0.0,97.81,
2016-01-03 16:00:00,0.0,0.0,98.0,
2016-01-03 17:00:00,0.0,0.0,93.28,
2016-01-03 18:00:00,0.0,0.0,72.81,
2016-01-03 19:00:00,0.0,0.0,73.13,
2016-01-03 20:00:00,0.0,0.0,72.48,
2016-01-03 21:00:00,0.0,0.0,72.72,
2016-01-03 22:00:00,0.0,0.0,72.15,
2016-01-03 23:00:00,0.0,0.0,57.64,
2016-01-04 00:00:00,0.0,0.0,49.16,
2016-01-04 01:00:00,0.0,0.0,48.58,
2016-01-04 02:00:00,0.0,0.0,48.76,
2016-01-04 03:00:00,0.0,0.0,48.66,
2016-01-04 04:00:00,0.0,0.0,63.33,
2016-01-04 05:00:00,0.0,0.0,93.87,
2016-01-04 06:00:00,0.0,0.0,96.45,
2016-01-04 07:00:00,0.0,0.0,98.36,
2016-01-04 08:00:00,0.0,0.0,99.95,
2016-01-04 09:00:00,0.0,0.0,101.39,
2016-01-04 10:00:00,0.0,0.0,102.35,
2016-01-04 11:00:00,0.0,0.0,101.37,
2016-01-04 12:00:00,0.0,0.0,101.41,
2016-01-04 13:00:00,0.0,0.0,101.06,
2016-01-04 14:00:00,0.0,0.0,98.2,
2016-01-04 15:00:00,0.0,0.0,101.51,
2016-01-04 16:00:00,0.0,0.0,103.17,
2016-01-04 17:00:00,0.0,0.0,143.58,
2016-01-04 18:00:00,0.0,0.0,146.55,
2016-01-04 19:00:00,0.0,0.0,82.54,
2016-01-04 20:00:00,0.0,0.0,74.12,
2016-01-04 21:00:00,0.0,0.0,74.63,
2016-01-04 22:00:00,0.0,0.0,72.52,
2016-01-04 23:00:00,0.0,0.0,56.52,
2016-01-05 00:00:00,0.0,0.0,52.33,
2016-01-05 01:00:00,0.0,0.0,50.44,
2016-01-05 02:00:00,0.0,0.0,51.09,
2016-01-05 03:00:00,0.0,0.0,46.23,
2016-01-05 04:00:00,0.0,0.0,53.57,
2016-01-05 05:00:00,0.0,0.0,93.13,
2016-01-05 06:00:00,0.0,0.0,95.95,
2016-01-05 07:00:00,0.0,0.0,96.48,
2016-01-05 08:00:00,0.0,0.0,100.83,
2016-01-05 09:00:00,0.0,0.0,104.87,
