timestamp,Panther_assembly_Carrol,Fox_assembly_Lakeisha
2016-01-01 00:00:00,0.0,8.1
2016-01-01 01:00:00,0.0,17.76
2016-01-01 02:00:00,0.0,19.76
2016-01-01 03:00:00,0.0,14.02
2016-01-01 04:00:00,0.0,13.83
2016-01-01 05:00:00,0.0,19.6
2016-01-01 06:00:00,0.0,15.17
2016-01-01 07:00:00,0.0,12.6
2016-01-01 08:00:00,0.0,13.01
2016-01-01 09:00:00,0.0,3.98
2016-01-01 10:00:00,0.0,2.77
2016-01-01 11:00:00,0.0,2.96
2016-01-01 12:00:00,0.0,8.41
2016-01-01 13:00:00,0.0,9.76
2016-01-01 14:00:00,0.0,11.8
2016-01-01 15:00:00,0.0,12.79
2016-01-01 16:00:00,0.0,13.45
2016-01-01 17:00:00,0.0,18.66
2016-01-01 18:00:00,0.0,16.04
2016-01-01 19:00:00,0.0,13.75
2016-01-01 20:00:00,0.0,20.33
2016-01-01 21:00:00,0.0,6.04
2016-01-01 22:00:00,0.0,8.09
2016-01-01 23:00:00,0.0,14.94
2016-01-02 00:00:00,0.0,5.85
2016-01-02 01:00:00,0.0,8.06
2016-01-02 02:00:00,0.0,13.5
2016-01-02 03:00:00,0.0,7.29
2016-01-02 04:00:00,0.0,10.41
2016-01-02 05:00:00,0.0,6.59
2016-01-02 06:00:00,0.0,7.57
2016-01-02 07:00:00,0.0,16.37
2016-01-02 08:00:00,0.0,11.22
2016-01-02 09:00:00,0.0,16.65
2016-01-02 10:00:00,0.0,11.12
2016-01-02 11:00:00,0.0,13.62
2016-01-02 12:00:00,0.0,26.47
2016-01-02 13:00:00,0.0,13.52
2016-01-02 14:00:00,0.0,11.71
2016-01-02 15:00:00,0.0,19.35
2016-01-02 16:00:00,0.0,23.31
2016-01-02 17:00:00,0.0,21.65
2016-01-02 18:00:00,0.0,18.8
2016-01-02 19:00:00,0.0,3.35
2016-01-02 20:00:00,0.0,3.41
2016-01-02 21:00:00,0.0,10.36
2016-01-02 22:00:00,0.0,14.67
2016-01-02 23:00:00,0.0,8.01
2016-01-03 00:00:00,0.0,12.31
2016-01-03 01:00:00,0.0,11.04
2016-01-03 02:00:00,0.0,9.84
2016-01-03 03:00:00,0.0,11.67
2016-01-03 04:00:00,0.0,6.16
2016-01-03 05:00:00,0.0,17.15
2016-01-03 06:00:00,0.0,7.34
2016-01-03 07:00:00,0.0,10.81
2016-01-03 08:00:00,0.0,14.94
2016-01-03 09:00:00,0.0,3.56
2016-01-03 10:00:00,0.0,12.82
2016-01-03 11:00:00,0.0,30.86
2016-01-03 12:00:00,0.0,14.29
