timestamp,Bear_parking_Gordon
2016-01-01 00:00:00,27.432
2016-01-01 01:00:00,27.476
2016-01-01 02:00:00,27.517
2016-01-01 03:00:00,27.548
2016-01-01 04:00:00,27.544
2016-01-01 05:00:00,27.46
2016-01-01 06:00:00,27.35
2016-01-01 07:00:00,27.455
2016-01-01 08:00:00,27.354
2016-01-01 09:00:00,27.379
2016-01-01 10:00:00,27.371
2016-01-01 11:00:00,27.454
2016-01-01 12:00:00,27.462
2016-01-01 13:00:00,27.54300000000001
2016-01-01 14:00:00,27.533
2016-01-01 15:00:00,27.544
2016-01-01 16:00:00,27.382
2016-01-01 17:00:00,27.265
2016-01-01 18:00:00,27.284
2016-01-01 19:00:00,27.371
2016-01-01 20:00:00,27.398000000000003
2016-01-01 21:00:00,27.441
2016-01-01 22:00:00,27.50800000000001
2016-01-01 23:00:00,27.613000000000003
2016-01-02 00:00:00,27.769
2016-01-02 01:00:00,27.802
2016-01-02 02:00:00,27.826
2016-01-02 03:00:00,27.82
2016-01-02 04:00:00,27.8
2016-01-02 05:00:00,27.71
2016-01-02 06:00:00,27.66800000000001
2016-01-02 07:00:00,27.66
2016-01-02 08:00:00,27.606
2016-01-02 09:00:00,27.594
2016-01-02 10:00:00,27.614
2016-01-02 11:00:00,27.659
2016-01-02 12:00:00,27.738000000000003
2016-01-02 13:00:00,27.711
2016-01-02 14:00:00,27.995
2016-01-02 15:00:00,27.629
2016-01-02 16:00:00,27.58
2016-01-02 17:00:00,27.375
2016-01-02 18:00:00,27.31
2016-01-02 19:00:00,27.343000000000004
2016-01-02 20:00:00,27.411
2016-01-02 21:00:00,27.429
2016-01-02 22:00:00,27.564
2016-01-02 23:00:00,27.59
2016-01-03 00:00:00,27.666
2016-01-03 01:00:00,27.852
2016-01-03 02:00:00,27.827
2016-01-03 03:00:00,27.865
2016-01-03 04:00:00,27.836
2016-01-03 05:00:00,27.795
2016-01-03 06:00:00,27.719
2016-01-03 07:00:00,27.764
2016-01-03 08:00:00,27.716
2016-01-03 09:00:00,27.575
2016-01-03 10:00:00,27.57800000000001
