timestamp,Bear_utility_Sidney
2016-01-01 00:00:00,53.0325
2016-01-01 01:00:00,54.5325
2016-01-01 02:00:00,55.1525
2016-01-01 03:00:00,54.09
2016-01-01 04:00:00,53.9325
2016-01-01 05:00:00,54.415
2016-01-01 06:00:00,59.2875
2016-01-01 07:00:00,59.315
2016-01-01 08:00:00,58.2875
2016-01-01 09:00:00,57.9025
2016-01-01 10:00:00,58.59
2016-01-01 11:00:00,59.225
2016-01-01 12:00:00,58.895
2016-01-01 13:00:00,58.1975
2016-01-01 14:00:00,56.7975
2016-01-01 15:00:00,57.7475
2016-01-01 16:00:00,58.2075
2016-01-01 17:00:00,56.7725
2016-01-01 18:00:00,53.8175
2016-01-01 19:00:00,54.1625
2016-01-01 20:00:00,55.6225
2016-01-01 21:00:00,55.8675
2016-01-01 22:00:00,54.8825
2016-01-01 23:00:00,55.495
2016-01-02 00:00:00,55.08
2016-01-02 01:00:00,56.34
2016-01-02 02:00:00,55.68
2016-01-02 03:00:00,55.1125
2016-01-02 04:00:00,55.065
2016-01-02 05:00:00,55.915
2016-01-02 06:00:00,60.795
2016-01-02 07:00:00,59.4975
2016-01-02 08:00:00,59.13
2016-01-02 09:00:00,58.9375
2016-01-02 10:00:00,60.15
2016-01-02 11:00:00,59.765
2016-01-02 12:00:00,59.1075
2016-01-02 13:00:00,59.0225
2016-01-02 14:00:00,58.165
2016-01-02 15:00:00,58.6775
2016-01-02 16:00:00,57.0525
2016-01-02 17:00:00,56.3675
2016-01-02 18:00:00,54.155
2016-01-02 19:00:00,55.8175
2016-01-02 20:00:00,56.2175
2016-01-02 21:00:00,54.6625
2016-01-02 22:00:00,55.115
2016-01-02 23:00:00,55.2875
2016-01-03 00:00:00,55.555
2016-01-03 01:00:00,55.645
2016-01-03 02:00:00,54.405
2016-01-03 03:00:00,54.43
2016-01-03 04:00:00,54.8675
2016-01-03 05:00:00,55.8975
2016-01-03 06:00:00,59.5375
2016-01-03 07:00:00,58.795
2016-01-03 08:00:00,58.3725
2016-01-03 09:00:00,58.8525
2016-01-03 10:00:00,58.9925
2016-01-03 11:00:00,58.215
2016-01-03 12:00:00,57.5975
2016-01-03 13:00:00,57.95
2016-01-03 14:00:00,57.4825
2016-01-03 15:00:00,57.6975
2016-01-03 16:00:00,56.33
2016-01-03 17:00:00,55.24
2016-01-03 18:00:00,53.7325
2016-01-03 19:00:00,54.8125
2016-01-03 20:00:00,55.195
2016-01-03 21:00:00,54.2325
2016-01-03 22:00:00,54.7225
2016-01-03 23:00:00,55.2675
2016-01-04 00:00:00,55.2675
2016-01-04 01:00:00,55.79
2016-01-04 02:00:00,55.735
2016-01-04 03:00:00,55.9175
2016-01-04 04:00:00,55.5275
2016-01-04 05:00:00,56.5125
2016-01-04 06:00:00,60.5125
2016-01-04 07:00:00,60.9275
2016-01-04 08:00:00,61.96
2016-01-04 09:00:00,62.575
2016-01-04 10:00:00,62.915
2016-01-04 11:00:00,62.355
2016-01-04 12:00:00,62.555
2016-01-04 13:00:00,62.6575
2016-01-04 14:00:00,61.66
2016-01-04 15:00:00,60.0475
2016-01-04 16:00:00,57.64
2016-01-04 17:00:00,55.8025
2016-01-04 18:00:00,53.98
2016-01-04 19:00:00,55.6725
2016-01-04 20:00:00,55.795
2016-01-04 21:00:00,54.6425
2016-01-04 22:00:00,54.9925
2016-01-04 23:00:00,55.48
2016-01-05 00:00:00,55.11
2016-01-05 01:00:00,56.0375
2016-01-05 02:00:00,55.8525
2016-01-05 03:00:00,56.16
2016-01-05 04:00:00,56.12
2016-01-05 05:00:00,56.095
2016-01-05 06:00:00,60.1725
2016-01-05 07:00:00,60.2425
2016-01-05 08:00:00,61.4
2016-01-05 09:00:00,62.51
2016-01-05 10:00:00,61.2775
2016-01-05 11:00:00,57.145
2016-01-05 12:00:00,56.3175
2016-01-05 13:00:00,55.5775
2016-01-05 14:00:00,57.83
2016-01-05 15:00:00,59.9075
2016-01-05 16:00:00,57.8675
2016-01-05 17:00:00,55.9575
2016-01-05 18:00:00,54.14
2016-01-05 19:00:00,55.7875
2016-01-05 20:00:00,55.64
2016-01-05 21:00:00,53.78
2016-01-05 22:00:00,54.2475
2016-01-05 23:00:00,54.5275
2016-01-06 00:00:00,54.7575
2016-01-06 01:00:00,54.57
2016-01-06 02:00:00,54.9325
2016-01-06 03:00:00,55.2575
2016-01-06 04:00:00,54.6925
2016-01-06 05:00:00,55.135
2016-01-06 06:00:00,58.995
2016-01-06 07:00:00,60.27
2016-01-06 08:00:00,61.075
2016-01-06 09:00:00,61.52
2016-01-06 10:00:00,62.925
2016-01-06 11:00:00,62.46
2016-01-06 12:00:00,61.8675
2016-01-06 13:00:00,61.1125
2016-01-06 14:00:00,60.595
2016-01-06 15:00:00,59.1075
2016-01-06 16:00:00,56.9625
2016-01-06 17:00:00,55.4725
2016-01-06 18:00:00,53.9225
2016-01-06 19:00:00,55.37
2016-01-06 20:00:00,55.4
2016-01-06 21:00:00,54.285
2016-01-06 22:00:00,54.83
2016-01-06 23:00:00,55.425
2016-01-07 00:00:00,55.7775
2016-01-07 01:00:00,55.54
2016-01-07 02:00:00,55.315
2016-01-07 03:00:00,55.745
2016-01-07 04:00:00,55.405
2016-01-07 05:00:00,55.735
2016-01-07 06:00:00,60.3175
