timestamp,Panther_retail_Felix,Fox_retail_Manie
2016-01-01 00:00:00,0.0,41.88
2016-01-01 01:00:00,0.0,42.66
2016-01-01 02:00:00,0.0,42.88
2016-01-01 03:00:00,0.0,41.73
2016-01-01 04:00:00,0.0,42.93
2016-01-01 05:00:00,0.0,51.69
2016-01-01 06:00:00,0.0,56.28
2016-01-01 07:00:00,0.0,54.47
2016-01-01 08:00:00,0.0,53.37
2016-01-01 09:00:00,0.0,55.25
2016-01-01 10:00:00,0.0,52.97
2016-01-01 11:00:00,0.0,53.45
2016-01-01 12:00:00,0.0,57.0
2016-01-01 13:00:00,0.0,56.73
2016-01-01 14:00:00,0.0,56.91
2016-01-01 15:00:00,0.0,57.08
2016-01-01 16:00:00,0.0,55.17
2016-01-01 17:00:00,0.0,56.58
2016-01-01 18:00:00,0.0,58.27
2016-01-01 19:00:00,0.0,58.24
2016-01-01 20:00:00,0.0,46.08
2016-01-01 21:00:00,0.0,42.06
2016-01-01 22:00:00,0.0,43.6
2016-01-01 23:00:00,0.0,42.08
2016-01-02 00:00:00,0.0,42.18
2016-01-02 01:00:00,0.0,42.73
2016-01-02 02:00:00,0.0,42.41
2016-01-02 03:00:00,0.0,41.57
2016-01-02 04:00:00,0.0,41.54
2016-01-02 05:00:00,0.0,42.27
2016-01-02 06:00:00,0.0,41.49
2016-01-02 07:00:00,0.0,50.48
2016-01-02 08:00:00,0.0,54.15
2016-01-02 09:00:00,0.0,54.53
2016-01-02 10:00:00,0.0,83.81
2016-01-02 11:00:00,0.0,99.4
2016-01-02 12:00:00,0.0,102.57
2016-01-02 13:00:00,0.0,102.98
2016-01-02 14:00:00,0.0,100.76
2016-01-02 15:00:00,0.0,100.92
2016-01-02 16:00:00,0.0,94.4
2016-01-02 17:00:00,0.0,69.09
2016-01-02 18:00:00,0.0,59.18
2016-01-02 19:00:00,0.0,47.26
2016-01-02 20:00:00,0.0,42.97
2016-01-02 21:00:00,0.0,43.67
2016-01-02 22:00:00,0.0,42.86
2016-01-02 23:00:00,0.0,42.58
2016-01-03 00:00:00,0.0,42.16
2016-01-03 01:00:00,0.0,42.13
2016-01-03 02:00:00,0.0,41.98
2016-01-03 03:00:00,0.0,42.12
2016-01-03 04:00:00,0.0,42.8
2016-01-03 05:00:00,0.0,43.67
2016-01-03 06:00:00,0.0,42.55
2016-01-03 07:00:00,0.0,54.62
2016-01-03 08:00:00,0.0,57.28
2016-01-03 09:00:00,0.0,66.01
2016-01-03 10:00:00,0.0,72.69
2016-01-03 11:00:00,0.0,98.53
2016-01-03 12:00:00,0.0,99.75
2016-01-03 13:00:00,0.0,101.81
2016-01-03 14:00:00,0.0,101.13
2016-01-03 15:00:00,0.0,99.3
2016-01-03 16:00:00,0.0,96.98
2016-01-03 17:00:00,0.0,60.09
2016-01-03 18:00:00,0.0,60.63
2016-01-03 19:00:00,0.0,47.53
2016-01-03 20:00:00,0.0,41.1
2016-01-03 21:00:00,0.0,43.09
